No.,Object Name,RA-s,Dec-s,RA,Dec,Redshift (z),cz,z flag,Phys Type,EM Region,Separation,Reference,Note,Photometry,Position,Redshift,Diameter,Distances,Classification,Images,Spectra
233,SDSS J130020.18+275801.6,13h00m20.2000s,+27d58m02.031s,195.084167,27.967231,0.020981,6289.945561298,UUN,G,Vis,6.99940894971042,5,0,9,3,2,3,0,0,0,0
234,WISEA J130005.48+280449.0,13h00m05.4891s,+28d04m49.131s,195.0228714,28.0803144,0.0170829,5121.3245807682,SLS,G,"IR,Vis",7.01440326319099,7,0,29,4,2,4,0,1,0,0
235,WISEA J125947.75+280552.3,12h59m47.7587s,+28d05m52.352s,194.9489948,28.0978758,0.0212455,6369.240666439,SLS,G,"IR,Vis",7.01575498687729,25,0,33,14,9,4,0,1,0,0
237,IC 3973,12h59m30.8232s,+27d53m03.173s,194.8784302,27.8842148,0.01570999,4709.73651725542,SLS,G,"IR,Vis,Xray",7.02483370399534,149,1,82,36,37,7,2,6,2,1
238,SDSS J130016.37+275522.2,13h00m16.3584s,+27d55m22.080s,195.06816,27.9228,0.01556,4664.77064648,SLS,G,Vis,7.0318706061992,10,0,16,5,3,4,0,1,0,0
240,DESI J194.8458+27.9116,12h59m22.9999s,+27d54m42.000s,194.8458333,27.9116667,0.0228869,6861.3200070002,SLS,G,,7.04059773961888,0,0,0,1,1,0,0,0,0,0
241,WISEA J125916.75+275857.5,12h59m16.7062s,+27d58m57.266s,194.8196093496,27.9825740206,0.0240000002,7195.01905195849,SUN,G,"IR,Vis",7.06844183899193,12,0,38,4,2,4,0,1,0,0
242,WISEA J130011.14+280354.8,13h00m11.1478s,+28d03m54.885s,195.0464492,28.065246,0.02454364612468,7357.99999999999,SLS,G,"IR,Vis",7.07452837261607,62,0,51,31,22,4,0,1,1,0
243,WISEA J125951.75+280554.5,12h59m51.7530s,+28d05m54.527s,194.9656377,28.0984798,0.02551,7647.70560358,SLS,G,"IR,Vis",7.08048861088677,41,0,45,15,12,6,0,1,2,1
244,WISEA J125937.20+275213.5,12h59m37.2200s,+27d52m13.885s,194.9050834,27.8705237,0.0211845,6350.953326501,SLS,G,"IR,Vis",7.0986440630267,22,0,28,8,5,0,0,1,1,0
245,DESI J195.0471+28.0656,13h00m11.3186s,+28d03m56.281s,195.0471611,28.0656337,0.0245486,7359.4851344588,SLS,G,,7.11753128189103,0,0,0,1,1,0,0,0,0,0
246,WISEA J125957.75+280541.7,12h59m57.7523s,+28d05m41.779s,194.9906348,28.0949388,0.0348,10432.7775384,PUN,G,IR,7.1209344678791,1,0,18,3,1,0,0,0,0,0
247,2MASX J13001877+2756135,13h00m18.7794s,+27d56m13.344s,195.0782476,27.93704,0.017615974,5281.13614552409,SLS,G,"IR,Vis",7.14259011921308,79,1,40,34,29,7,0,1,2,0
248,IC 4012,13h00m07.9784s,+28d04m43.440s,195.0332436,28.0787334,0.0241400335694903,7237.00000000001,SLS,G,"IR,UV,Vis",7.24209706146944,166,2,92,37,40,6,10,7,2,1
249,[HBV2021] Coma 1413,13h00m11.9714s,+28d04m03.903s,195.04988083333,28.06775083333,0.023696,7103.882084768,UUN,G,Vis,7.30907476988615,3,0,1,2,2,0,0,0,0,0
250,WISEA J125958.72+280551.6,12h59m58.7490s,+28d05m51.840s,194.9947875,28.0977335,0.0276676,8294.5378109608,SLS,G,IR,7.34529438753252,10,0,27,7,4,4,0,1,1,0
252,NGC 4867,12h59m15.2476s,+27d58m14.584s,194.8135318,27.9707178,0.0160811250295029,4821.0,SLS,G,"IR,Radio,Vis",7.41594670071966,173,1,93,31,32,11,7,8,2,0
253,CGCG 160-235,12h59m46.1510s,+27d51m25.369s,194.9422961,27.8570471,0.0269886709424825,8091.00000000001,SLS,G,"IR,Vis",7.45879317020806,96,0,70,32,31,7,0,3,2,0
254,SDSS J130018.41+275516.9,13h00m18.4100s,+27d55m16.900s,195.07670833333,27.92136111111,0.027202,8154.954442516,UUN,G,Vis,7.46954186704037,7,0,1,3,2,0,0,0,0,0
256,WISEA J130022.63+275754.9,13h00m22.6551s,+27d57m54.854s,195.0943965,27.9652373,0.02122,6361.59595876,SLS,G,"IR,Vis",7.55206330723698,19,0,38,11,7,4,0,1,0,0
257,SDSS J130018.70+275512.6,13h00m18.7111s,+27d55m12.612s,195.077963,27.92017,0.0219527,6581.2538927366,SLS,G,Vis,7.56224465670239,17,0,2,9,6,0,0,1,0,0
258,SDSS J125927.22+275257.0,12h59m27.2160s,+27d52m57.000s,194.8634,27.8825,0.0225,6745.330305,UUN,G,Vis,7.58208528088293,9,0,15,4,1,4,0,1,0,0
259,DESI J194.8981+27.8642,12h59m35.5591s,+27d51m51.151s,194.8981629,27.8642087,0.0209819,6290.2153745102,SLS,G,,7.58659633201014,0,0,0,1,1,0,0,0,0,0
260,WISEA J125935.28+275149.1,12h59m35.2816s,+27d51m49.108s,194.8970067,27.8636412,0.02099,6292.64369342,SLS,G,"IR,Vis",7.64166287754685,76,0,56,31,24,6,0,1,2,0
261,GIN 762,12h59m22.6201s,+27d53m48.720s,194.8442508,27.8968667,0.0171852221846088,5152.0,SLS,G,"IR,Vis",7.66232214449001,94,0,62,27,27,7,3,3,2,0
262,COMAi J130023.227+275948.91,13h00m23.2361s,+27d59m48.991s,195.09681708333,27.99694194444,0.021085,6321.12397693,UUN,G,Vis,7.67955767468603,6,0,1,2,1,0,0,0,0,0
263,SDSS J130014.15+280407.4,13h00m14.1704s,+28d04m07.230s,195.0590436,28.068675,0.0241999999,7254.97745362075,SUN,G,Vis,7.69536257370728,12,0,2,6,3,0,0,1,0,0
264,DESI J194.8958+27.8630,12h59m35.0150s,+27d51m47.058s,194.895896,27.8630718,0.0210462,6309.4920295596,SLS,G,,7.69613010284535,0,0,0,1,1,0,0,0,0,0
266,SDSS J130016.96+275416.0,13h00m16.9642s,+27d54m16.132s,195.0706843,27.9044811,0.029834,8944.008191972,UUN,G,"IR,Vis",7.74527721873611,13,0,25,9,4,4,0,1,0,0
267,WISEA J130012.86+280431.7,13h00m12.8682s,+28d04m31.791s,195.0536178,28.0754975,0.0250306497036693,7503.99999999999,SLS,G,"IR,Vis",7.7811055665593,101,0,63,37,37,7,1,2,2,1
268,DESI J194.9131+27.8561,12h59m39.1607s,+27d51m21.974s,194.9131696,27.856104,0.0241673,7245.1742702234,SLS?,G,,7.7856044720681,0,0,0,1,1,0,0,0,0,0
269,SDSS J130022.84+280057.1,13h00m22.8458s,+28d00m57.111s,195.0951909019,28.0158643487,0.030928,9271.981141024,UUN,G,Vis,7.81799234611843,2,0,16,1,1,4,0,0,0,0
270,2MASS J12593950+2751170,12h59m39.5026s,+27d51m16.029s,194.9145945,27.8544527,0.03134,9395.49563372,SLS,G,"IR,Vis",7.86111370630084,29,0,18,16,12,4,0,1,1,0
271,NGC 4864,12h59m13.1078s,+27d58m36.901s,194.804616,27.976917,0.022532,6754.923663656,UUN,G,"IR,Radio,Vis,Xray",7.86626734105761,175,5,83,29,31,11,6,9,2,1
272,WISEA J125925.73+280453.7,12h59m25.7579s,+28d04m53.171s,194.8573246,28.0814364,0.02576,7722.65371808,SLS,G,"IR,Vis",7.87340530685217,8,0,38,6,3,4,0,1,0,0
274,WISEA J130017.02+280350.1,13h00m17.0278s,+28d03m50.125s,195.0709493,28.0639238,0.0204708285223106,6137.0,SLS,G,"IR,UV,Vis",7.98644953005761,101,0,71,34,28,7,1,2,2,0
275,SDSS J130024.85+275921.8,13h00m24.8490s,+27d59m21.860s,195.1035375,27.98940555556,0.030745,9217.11912121,UUN,G,Vis,7.99202647486047,11,0,16,5,2,4,0,1,0,0
277,WISEA J130018.34+280333.4,13h00m18.3449s,+28d03m33.465s,195.0764374,28.059296,0.03325,9968.0992285,SLS,G,"IR,Vis",8.05082068254802,30,0,38,12,8,4,0,1,0,1
278,WISEA J125931.89+275140.7,12h59m31.8989s,+27d51m40.701s,194.8829123,27.8613059,0.0155440868362339,4660.0,SLS,G,"IR,Vis",8.08595993773847,47,0,42,19,13,0,0,1,1,1
279,WISEA J125931.59+280601.8,12h59m31.5990s,+28d06m01.891s,194.8816627,28.1005254,0.0247771409913187,7427.99999999999,SLS,G,"IR,Vis",8.10570685471075,33,0,21,14,10,0,0,1,1,0
280,COMAi J130021.966+280218.24,13h00m21.9874s,+28d02m18.765s,195.09161416667,28.03854583333,0.02686,8052.42542188,SLS,G,Vis,8.11396129246069,6,0,1,3,2,0,0,0,0,0
281,DESI J195.0377+27.8678,13h00m09.0579s,+27d52m04.159s,195.0377414,27.8678221,0.0174698,5237.3142827684,SLS,G,,8.1422110210711,0,0,0,1,1,0,0,0,0,0
282,SDSS J125911.92+275952.3,12h59m11.9324s,+27d59m52.354s,194.7997185,27.9978762,0.0235155,7049.769546099,SLS,G,Vis,8.18404892633837,6,0,24,3,1,4,0,1,0,0
285,MRK 0060 NED01,13h00m09.3138s,+27d52m00.031s,195.0388077533,27.8666753771,0.0177322673007338,5316.00000000001,SLS,G,"IR,Radio,Vis,Xray",8.23080346536669,81,0,80,26,21,7,0,2,2,0
286,SDSS J125914.43+280217.3,12h59m14.4520s,+28d02m16.460s,194.810216666667,28.0379055555556,0.0265817227463407,7968.99999999999,UUN,G,Vis,8.29848907190709,16,0,15,8,2,4,0,1,0,0
287,COMAi J130025.049+275637.93,13h00m25.0634s,+27d56m38.022s,195.10443083333,27.943895,0.02317,6946.19125186,SLS,G,Vis,8.32820534920235,8,0,1,3,2,0,0,0,0,0
288,IC 4026,13h00m22.1459s,+28d02m49.251s,195.0922749,28.0470143,0.0272688647824489,8174.99999999999,SLS,G,"IR,Vis",8.37342326905229,138,1,88,33,33,7,6,5,2,0
289,SDSS J130022.90+275515.1,13h00m22.9536s,+27d55m15.204s,195.09564,27.92089,0.01758,5270.35141164,SLS,G,Vis,8.37627561833526,11,0,16,5,4,4,0,1,0,0
290,WISEA J125911.54+280033.3,12h59m11.5453s,+28d00m33.355s,194.7981054,28.0092653,0.0229925730820086,6892.99999999999,SLS,G,"IR,Vis",8.3796083520788,62,0,46,28,20,4,0,1,1,0
291,WISEA J125920.19+280427.3,12h59m20.1943s,+28d04m27.343s,194.8341429,28.0742622,0.02389,7162.04182162,SLS,G,"IR,Vis",8.42258742761332,51,0,61,23,18,6,0,1,2,1
292,WISEA J130026.15+280031.8,13h00m26.1665s,+28d00m32.073s,195.1090273,28.0089092,0.0186348,5586.5724963384,SLS,G,"IR,Vis",8.43413011233514,22,0,43,11,6,4,0,1,0,0
293,DESI J195.0390+27.8622,13h00m09.3651s,+27d51m44.007s,195.0390215,27.8622242,0.0200612,6014.1964584296,SLS?,G,,8.46081921033793,0,0,0,1,1,0,0,0,0,0
294,SDSS J130026.78+275953.4,13h00m26.7804s,+27d59m53.409s,195.11158498,27.9981691969,0.024,7195.018992,SLS,G,Vis,8.4650605739419,9,0,16,3,2,4,0,1,0,0
295,SDSS J130008.97+275139.6,13h00m09.0058s,+27d51m39.763s,195.0375244,27.8610454,0.0171767,5149.4451133286,SLS,G,,8.47827548177221,9,0,11,4,1,0,0,1,0,0
296,MRK 0060 NED02,13h00m10.2434s,+27d51m49.805s,195.0426809,27.8638348,0.03311,9926.12828438,SLS,G,"IR,Radio,Vis,Xray",8.48670937063599,64,0,52,14,17,6,0,2,2,1
297,GIN 763,12h59m20.1778s,+27d53m09.579s,194.8340743,27.8859942,0.0216216246507442,6482.0,SLS,G,"IR,UV,Vis",8.49922377809371,113,0,67,35,38,7,1,2,2,1
298,WISEA J125910.15+275832.1,12h59m10.0995s,+27d58m31.926s,194.7920816,27.9755352,0.0250232,7501.7666350256,SLS,G,"IR,Vis",8.53297093864003,6,0,35,5,1,4,0,1,0,0
299,SDSS J130021.38+280327.3,13h00m21.3873s,+28d03m27.380s,195.089113877,28.057605817,0.026251,7869.851814958,UUN,G,Vis,8.55012497659853,2,0,16,1,1,4,0,0,0,0
300,COMAi J125932.496+275102.47,12h59m32.5159s,+27d51m02.646s,194.88548291667,27.850735,0.0273,8184.3341034,SLS,G,Vis,8.59662982833478,11,0,9,3,3,0,0,1,0,0
301,WISEA J130024.81+275535.8,13h00m24.8149s,+27d55m35.863s,195.1033955,27.9266287,0.02653,7953.49391074,SLS,G,"IR,Vis",8.61264049370391,57,0,50,22,13,4,0,1,1,0
302,SDSS J130027.87+275916.3,13h00m27.8872s,+27d59m16.489s,195.116197,27.9879138,0.031395,9411.98421891,UUN,G,Vis,8.65685477615437,12,0,15,8,4,4,0,1,0,0
303,WISEA J130027.35+280033.4,13h00m27.3466s,+28d00m33.444s,195.1139444,28.0092902,0.0210342,6305.8945200636,SLS,G,"IR,Vis",8.69402195097955,14,0,39,7,4,4,0,1,0,0
304,COMAi J125926.945+275136.63,12h59m26.9531s,+27d51m36.333s,194.8623048,27.8600925,0.0334765,10036.002220237,SLS,G,Vis,8.70325392095286,9,0,0,6,1,0,0,0,0,0
305,COMAi J130019.310+280422.03,13h00m19.3322s,+28d04m22.400s,195.08055083333,28.07288888889,0.02451,7347.91314558,SLS,G,Vis,8.71976496199134,6,0,1,3,2,0,0,0,0,0
306,SDSS J130023.47+280301.9,13h00m23.4700s,+28d03m01.900s,195.09779166667,28.05052777778,0.023603,7076.001386174,UUN,G,Vis,8.73062308463669,9,0,1,4,3,0,0,1,0,0
307,WISEA J130013.63+275201.8,13h00m13.6362s,+27d52m01.888s,195.0568176,27.8671912,0.02468,7398.87786344,SLS,G,"IR,Vis",8.77043792596537,46,0,34,17,12,0,0,1,1,0
